ID, 2440550364
TEAM_TAG_RADIANT, 
TEAM_TAG_DIRE, 
WINNER, radiant
PLAYER,0,Bloo,76561198135467598,npc_dota_hero_ursa,2
PLAYER,1,Janker,76561198060930664,npc_dota_hero_sven,2
PLAYER,2,klondike.152,76561198072310452,npc_dota_hero_centaur,2
PLAYER,3,klondike.pqtrcxw,76561198307230104,npc_dota_hero_skywrath_mage,2
PLAYER,4,klondike.jxn.Oxygen,76561198170989573,npc_dota_hero_zuus,2
PLAYER,5,Buscando sos amigos=)?,76561198309514529,npc_dota_hero_axe,3
PLAYER,6,Don Gato....,76561198308414301,npc_dota_hero_juggernaut,3
PLAYER,7,Raku,76561198274976406,npc_dota_hero_omniknight,3
PLAYER,8,Soy nop,76561198310954671,npc_dota_hero_pudge,3
PLAYER,9,ticse,76561198309246546,npc_dota_hero_lion,3
